TimeStamp,PreviousTimeStamp,DoorRotation,PreviousDoorRotation,topAngle,XPosition,YPosition,ZPosition,Inside/Outside,AngleOfParticipant,DeltaTheta,Radius,ClosestAngleToDoor,TTC
3.010479,2.982489,282.7883,284.0478,1.25955200195313,0.1120407,1.392276,1.864337,0,273.4391,9.349121,1.86770083716047,9.349121,6.28414331272609
3.038728,3.010479,281.5171,282.7883,1.27117919921875,0.1119685,1.391534,1.864276,0,273.4371,8.080017,1.8676351064105,8.080017,6.25596231678625
3.066278,3.038728,280.2773,281.5171,1.23974609375,0.1118968,1.390409,1.863854,0,273.4356,6.841705,1.86720955383772,6.841705,6.22834708719753
3.094064,3.066278,279.027,280.2773,1.2503662109375,0.1120133,1.389267,1.863714,0,273.4395,5.587524,1.86707716230763,5.587524,6.20067516961135
3.122105,3.094064,277.7651,279.027,1.2618408203125,0.1123123,1.387933,1.863621,0,273.4488,4.316345,1.86700209765533,4.316345,6.17255392865239
3.149943,3.122105,276.5124,277.7651,1.25271606445313,0.1127697,1.386789,1.863607,0,273.4628,3.049591,1.86701536781757,3.049591,6.14479413567811
3.17769,3.149943,275.2638,276.5124,1.24859619140625,0.1131305,1.385653,1.863526,0,273.474,1.789795,1.86695725326187,1.789795,6.116942340091
3.205763,3.17769,274.0005,275.2638,1.2633056640625,0.113344,1.384858,1.863186,0,273.4812,0.5193176,1.8666307367929,0.5193176,6.08886824201093
3.233797,3.205763,272.739,274.0005,1.26150512695313,0.113507,1.383435,1.863005,0,273.4865,359.2525,1.86645919894156,119.2525,6.06098037256651
3.261498,3.233797,271.4924,272.739,1.24658203125,0.1141736,1.382274,1.862941,0,273.5071,357.9854,1.86643604845185,117.9854,6.03306822080123
3.289684,3.261498,270.2241,271.4924,1.26837158203125,0.1143745,1.38139,1.862567,0,273.5139,356.7101,1.86607518518298,116.7101,6.00498927133466
3.317534,3.289684,268.9708,270.2241,1.25326538085938,0.1145778,1.380221,1.861721,0,273.5218,355.449,1.86524313979561,115.449,5.97708783586416
